file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00041_00447.450-00456.550,ད་དེ་འདྲས་ཡིན་པ་ཡིན་དུས་ཙ་ནས་ང་རོང་ཚོ་གཟུགས་ཅན་གི་དངོས་པོ་གང་དང་གང་ཡིན་ནས། ཁོ་འགྱུར་བ་འགྲོ་ཡ་ལ་ཁོ་འགལ་ཟླ་གཅིག་ཡོད་པའི་ཆ་ནས། འགལ་བ་གཅིག་ཡོད་པའི་ཆ་ནས། ཨེ་ནས་ཁོ་འགྱུར་བ་འགྲོ་བསྡད་ཡ་ཅིག་ཡོང་གི་ཡོད་རེད་མ་གཏོགས།  ,da de 'dras yin pa yin dus tsa nas nga rong tsho gzugs can gi dngos po gang dang gang yin nas/_kho 'gyur ba 'gro ya la kho 'gal zla gcig yod pa'i cha nas/_'gal ba gcig yod pa'i cha nas/_e nas kho 'gyur ba 'gro bsdad ya cig yong gi yod red ma gtogs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_00447.450-00456.550.wav,STT_TT,3,207,9.100000000000025,wav16k/STT_TT00041_00447.450-00456.550.wav,ད་དེ་འདྲའི་ཡིན་པ་ཡིན་དུས་ཙ་ནས། ང་རང་ཚོ་གཟུགས་ཅན་གྱི་དངོས་པོ་གང་དང་གང་ཡིན་ནས་ ཁོ་འགྱུར་བ་འགྲོ་ཡ་ལ་ཡ། ཁོ་འགལ་ཟླ་ཅིག་ཡོད་པའི་ཆ་ནས། འགལ་བ་ཅིག་ཡོད་པའི་ཆ་ནས། ཨེ་ནས་ཁོ་འགྱུར་བ་འགྲོ་བསྡད་ཡ་དེ་ཡོང་གི་ཡོད་རེད་མ་གཏོགས།
STT_TT00041_00469.400-00474.900,ད་དེའི་འགལ་བ་ཟེར་ཡག་དེ་ཁོ་གཟུགས་ཅན་གི་ཆོས་ནང་བཞིན་གི་འགལ་བ་བརྩི་ས་ད་ཡོད་མ་རེད་དེ། ཁོ་བློ་འཛིན་སྟངས་ཀི་རེད་བ།  ,da de'i 'gal ba zer yag de kho gzugs can gi chos nang bzhin gi 'gal ba brtsi sa da yod ma red de/_kho blo 'dzin stangs ki red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_00469.400-00474.900.wav,STT_TT,3,110,5.5,wav16k/STT_TT00041_00469.400-00474.900.wav,ོད་དེ་འགལ་བ་ཟེར་ཡ་དེ། ཁོ་གཟུགས་ཅན་གི་ཆོས་ནང་བཞིན་གི་འགལ་བ་བརྩི་ས་ད་ཡོད་མ་རེད་དེ། ཁོ་བློ་འཛིན་སྟངས་འགལ་བ།
STT_TT00041_00475.700-00484.100,དཔེར་ན་ཡུལ་གཅིག་ལ་དམིགས་ནས་དུས་གཅིག་ལ་འདི་ཡག་པོ་འདུག་བསམས་ནས་དྲན་བསྡད་མྱི་གི་འདི་བསམ་ཡག་པོ་འདུག་ཟེར་ནས་ངོས་འཛིན་བསྡད་མྱི་བློ་དེ་དང་།  ,dper na yul gcig la dmigs nas dus gcig la 'di yag po 'dug bsams nas dran bsdad myi gi 'di bsam yag po 'dug zer nas ngos 'dzin bsdad myi blo de dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00041_00475.700-00484.100.wav,STT_TT,3,134,8.400000000000034,wav16k/STT_TT00041_00475.700-00484.100.wav,དཔེར་ན། ཡུལ་གཅིག་ལ་དམིགས་ནས་དུས་གཅིག་ལ་འདི་ཡག་པོ་འདུག་བསམ་ནས་དྲན་བསྡད་ངེ་གི་འདི་བཟང། ཡག་པོ་འདུག་ཟེབྱས་ནས་ངོས་འཛིན་བསྡད་ངེ་གི་བློ་དེ་དང་།
STT_MV0756_0088_601031_to_609942,པྭ་ལགས་ལ་ལྟ་རྟོག་ཡག་པོ་བྱས་ན། ཨ་མར་བརྩི་པོ་བྱས་པ་དང་ཁྱད་ཡོད་མ་རེད། ང་དངོས་གནས་སེམས་གིས་བཟོད་པ་མིན་འདུག མ་ཟད་ཁྱེད་རང་བོད་ལ་ཐེད་ན། ས་མཐོ་པོ་སོང་ཙང་ང་སེམས་འཁྲལ་མེད་པ་ག་པར་ཡོད་རེད།  ,p+wa lags la lta rtog yag po byas na/_a mar brtsi po byas pa dang khyad yod ma red/_nga dngos gnas sems gis bzod pa min 'dug_ma zad khyed rang bod la thed na/_sa mtho po song tsang nga sems 'khral med pa ga par yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0756_0088_601031_to_609942.wav,STT_MV,3,178,8.911,wav16k/STT_MV0756_0088_601031_to_609942.wav,པཱ་ལགས་ལ་ལྟ་རྟོག་ཡག་པོ་བྱས་ན། ཨ་མར་བརྩི་པོ་བྱས་པ་དང་ཁྱད་ཡོད་མ་རེད། ང་དངོས་གནས་སེམས་ཀིས་བཟོད་པ་མི་འདུག མ་ཟད་ཁྱེད་རང་བུད་ལ་ཐེད་ན། ས་མཐོ་པོ་སོང་ཙང་། ང་སེམས་ཁྲལ་མེད་པ་ག་པར་ཡོད་རེད།
STT_MV0756_0086_592146_to_595006,ཨ་མ་ལགས། ཁྱེད་རང་དངོས་ནས་བོད་ལ་ཐེད་མྱི་ཡིན་པེ།  ,a ma lags/_khyed rang dngos nas bod la thed myi yin pe/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0756_0086_592146_to_595006.wav,STT_MV,3,48,2.86,wav16k/STT_MV0756_0086_592146_to_595006.wav,ཨ་མ་ལགས། ཁྱེད་རང་དངོས་གནས་བུད་ལ་ཐེད་མྱི་ཡིན་པེ།
STT_MV0446_0154_952891_to_957675,ཕ་ཙི་དེའ་རྒྱུག ལ་སེ།  ,pha tsi de' rgyug_la se/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0446_0154_952891_to_957675.wav,STT_MV,3,22,4.784,wav16k/STT_MV0446_0154_952891_to_957675.wav,ཕར་ཙི་འདིར་རྒྱུགས། ལ་སོ།
STT_PC0062_0043_241543_to_244167,ང་ན་ཚོ་ད་ལྟའི་དུས་ཚོད་དེ་ག་རེ་ཆགས་ཀི་ཡོད་རེད་ལབ་དུས་ཙམ་པ།  ,nga na tsho da lta'i dus tshod de ga re chags ki yod red lab dus tsam pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0062_0043_241543_to_244167.wav,STT_PC,3,59,2.624,wav16k/STT_PC0062_0043_241543_to_244167.wav,ང་ྣ་ཚོ་ད་ལྟའི་དུས་ཚོད་དེ་ག་རེ་ཆགས་གོ་རེད་ལབ་དུས་ཙམ་པ།
STT_PC0061_0047_260861_to_264253,འོན་ཀྱང་ང་ན་ཚོ་དུས་ཚོད་འདི་གི་ནང་ལོགས་ལ་བསམ་བློ་ཡག་པོ་བཏང་།  ,'on kyang nga na tsho dus tshod 'di gi nang logs la bsam blo yag po btang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0061_0047_260861_to_264253.wav,STT_PC,3,61,3.392,wav16k/STT_PC0061_0047_260861_to_264253.wav,འོན་ཀྱང་། ང་རྣ་ཚོ་དུས་ཚོད་འདི་གི་ནང་ལོགས་ལ་བསམ་བློ་ཡག་པོ་བཏང་།
STT_MV0744_0164_1200353_to_1206474,ད་དུང་དགོས་ཡོད་ཟེར་གི་འདུག་ག ད་རེས་སུམ་ཅུ་དགོས་ཡོད་ཟེར། དེ་སྔོན་གོང་ཚད་ད་ག་ཡིན་ད་།  ,da dung dgos yod zer gi 'dug ga_da res sum cu dgos yod zer/_de sngon gong tshad da ga yin da /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0744_0164_1200353_to_1206474.wav,STT_MV,3,84,6.121,wav16k/STT_MV0744_0164_1200353_to_1206474.wav,ད་དུང་དགོས་ཡོད་ཟེར་གི་འདུག་ག ད་རེས་སུམ་ཅུ་དགོས་ཡོད་ཟེར། དེ་སྔོན་དགོང་ཚད་དང་ཡིན་དང།
STT_MV0744_0157_1150291_to_1160290,ཧེ། བྱས་ན་ང་ལས་ཀར་འགྲོ་གི་ཡིན།  ,he/_byas na nga las kar 'gro gi yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0744_0157_1150291_to_1160290.wav,STT_MV,3,32,9.999,wav16k/STT_MV0744_0157_1150291_to_1160290.wav,ཧ་། བྱས་ན་ང་ལས་ཀར་འགྲོ་གི་ཡིན།
